,,PERMIT STATUS,CD,COFO ISSUE DATE,DWELLING UNIT CHANGED,ISSUE DATE,JOB ADDRESS,PERMIT SUB-TYPE,PERMIT GROUP,PERMIT NUMBER,PERMIT TYPE,PLAN CHECK SUBMITTAL DATE,SQUARE FOOTAGE,WORK DESCRIPTION,ZIP CODE,ADDRESS COUNT
Applications Submitted,244,Reviewed by Supervisor,7.0,,0.0,,10168 N LEONA AVE,1 or 2 Family Dwelling,Building,12010-20000-01071,Bldg-New,2012-05-10 00:00:00,,"""Comply With Department Order Effective Date
04/10/2012. Permit Will Expire 30 Days From Issuance Date"" - Construct Second Dwelling Unit Per Za-120.",91042.0,1.0
Permits without CofO ,95,CofO in Progress,5.0,,1.0,2012-04-24 12:32:00,1020 N MORAGA DR,1 or 2 Family Dwelling,Building,10010-20000-02605,Bldg-New,,1200.0,"New 1-Story, 54' X 24',  1,200 Sf Single Family Dwelling, Basement Garage And Storage, Roof Deck, And Attached Deck Per Za 120.

***Permit 2 Of 4***",90049.0,1.0
Permits with CofO,867,CofO Issued,7.0,2017-04-13 14:44:00,1.0,2015-01-13 08:47:00,10205 N KEWEN AVE,1 or 2 Family Dwelling,Building,14014-20000-03863,Bldg-Addition,,499.0,Add 2nd Dwelling Unit (Irr 26' X 20') Per Za Memorandum 120 To (E) Sfd Creating A Duplex,91331.0,1.0
Applications Submitted,404,Reviewed by Supervisor,7.0,,1.0,,10205 N SUNLAND BLVD,1 or 2 Family Dwelling,Building,15010-20000-00383,Bldg-New,2015-01-30 00:00:00,,New Second Dwelling/Garage  2-Story W/Basement,91040.0,1.0
Permits without CofO ,187,Issued,10.0,,1.0,2015-03-31 12:23:00,1021-1023 S VICTORIA AVE,1 or 2 Family Dwelling,Building,15014-10000-00574,Bldg-Addition,,3658.0,"Add 423 Sf To (E) Sfd And Convert To Duplex Per ""Ab-1866"". Comply With Department Order Effective Date 02/09/2015. Permit Will Expire 30 Days From Issuance Date.",90019.0,1.0
Permits with CofO,881,CofO Issued,6.0,2017-05-31 07:06:00,1.0,2013-08-22 15:04:00,10210 N LEV AVE,1 or 2 Family Dwelling,Building,13010-20000-01150,Bldg-New,,878.0,"(N)Fully Sprinklered 2nd Dwelling With Attached One Car Carport Per Ab 1866(Za Memo #120).  All Work Per Wfpp Sheet.  ""Comply With Dept. Order Dated 5/6/12.  This Permit Will Expire In 30 Days From Issuance Date.""",91331.0,1.0
Permits with CofO,856,CofO Issued,2.0,2017-02-23 15:49:00,1.0,2015-06-15 07:51:00,10215 W STAGG ST,1 or 2 Family Dwelling,Building,15010-20000-00930,Bldg-New,,840.0,"(N) 40' X 21'  2nd Dwlg W/ Open Parking In Rear - Per Za Memo 120
Must Be Sprinklered Thru-Out W/ Nfpa-13d
All Work Per Wfpp Sheet",91352.0,1.0
Permits with CofO,450,CofO Issued,8.0,2012-12-17 08:41:00,1.0,2012-03-13 13:51:00,10217-10219 S HARVARD BLVD,1 or 2 Family Dwelling,Building,12014-70000-00184,Bldg-Addition,,417.0,One Story Addition (417 Sq. Ft.) To Existing 1 Story Single Family Dwelling Converting To A Duplex.(Second Dwelling Unit Pursuant To Ab 1866),90047.0,1.0
Applications Submitted,595,Reviewed by Supervisor,12.0,,1.0,,10218 N HAYVENHURST AVE,1 or 2 Family Dwelling,Building,17014-20000-00633,Bldg-Addition,2017-02-16 00:00:00,1753.6,"Addition Of 13'-3"" X 33'-3"" To Rear Of (E) One Story Sfd. All Work Per Engineering. See Comments. Comply With Department Order Effective Date 01/25/2017. Permit Will Expire 30 Days From Issuance Date.  New Use:  Sfd W/Adu Per Ab 2299 And Ab 1069",91343.0,1.0
Permits with CofO,654,CofO Issued,2.0,2015-06-04 10:26:00,1.0,2014-11-13 12:28:00,10220 W STAGG ST,1 or 2 Family Dwelling,Building,14010-20000-03125,Bldg-New,,748.0,"New 33'4"" X 24'4"" Detached 2nd Dwelling Unit In Rear Per Za-120 Memorandum. All Works Per Engineering. Nfpa13-D Fire Sprinkler Throughout. 

",91352.0,1.0
Applications Submitted,65,Reviewed by Supervisor,7.0,,,,10234 N LAUREL CANYON BLVD,1 or 2 Family Dwelling,Building,06016-20000-05779,Bldg-Alter/Repair,2006-03-29 00:00:00,634.0,Convert (E) Sfd To 2nd Dwlg Per Ab 1866.  Demo Breezeway Connection With Garage To Create A Detached 2nd Unit With A Floor  Area Of Less Than Max  640 Sq Ft.,91331.0,1.0
Applications Submitted,205,Reviewed by Supervisor,6.0,,1.0,,10248 N VENA AVE,1 or 2 Family Dwelling,Building,11014-20000-02660,Bldg-Addition,2011-07-25 00:00:00,522.0,"Addition To (E) Detached Garage (18'X18') And Convert To 2nd Dwelling Unit (43'6""X12') Pe R Za 120 . Comply With Department Order Effective Date 08/07/2008. Permit Will Expire 30 Days From Issuance Date",91331.0,1.0
Permits with CofO,588,CofO Issued,2.0,2014-08-27 14:52:00,1.0,2014-04-03 11:07:00,10250 W ARMINTA ST,1 or 2 Family Dwelling,Building,14010-20000-00422,Bldg-New,,1064.0,Fully Sprinklered 19' X 28' Two Story Type V-B 2nd Dwelling Per Zoning Memo No. 120(Ab 1866),91352.0,1.0
Permits with CofO,168,CofO Issued,6.0,2008-02-26 13:40:00,1.0,2007-09-18 14:52:00,10257 W STRATHERN ST,1 or 2 Family Dwelling,Building,07010-20000-03581,Bldg-New,,623.0,"New 26'6"" X 24' Second Dwelling Unit Per Ab 1866 With Attached Two Car Garage  Garage.  All Work Shall Comply With The Type ""V"" Sheet.",91352.0,1.0
Applications Submitted,568,Verifications in Progress,7.0,,,,10264 W WENTWORTH ST,1 or 2 Family Dwelling,Building,13010-10001-01004,Bldg-Alter/Repair,2016-12-23 00:00:00,,"Plancheck Only:  Change Scope Of Work To Accessory Dwelling Unit Per Ab2299  (Original Scope Was For Second Dwelling Unit Per Za 120).  Plancheck Extended To 4-9-2017,  Comply With Current Codes.



Supp To Pcis # 13010-20000-01004 To Recheck The Plans Per Current Building Code (Zoning Will Be Per Ab 2299 Eff 1/1/17)",91040.0,1.0
Permits without CofO ,171,Issued,7.0,,1.0,2014-11-10 12:15:00,10270 N SUNLAND BLVD,1 or 2 Family Dwelling,Building,13010-30000-02849,Bldg-New,,990.0,New Second Dwelling Unit Per Za Memorandum No. 120 (Ab 1866).,91040.0,1.0
Applications Submitted,653,Reviewed by Supervisor,11.0,,1.0,,1028 E NOWITA PL,1 or 2 Family Dwelling,Building,16014-30001-02660,Bldg-New,2017-05-16 00:00:00,570.0,New Adu Per Ab2299 And Sb1069. 1st Floor Garage & Storage. 2nd Fl Adu,90291.0,1.0
Permits with CofO,1072,Permit Finaled,6.0,,,2014-03-07 16:44:00,10282 N BARTEE AVE,1 or 2 Family Dwelling,Building,13016-20000-19103,Bldg-Alter/Repair,,0.0,Convert Existing Front Dwelling To 2nd  Dwelling Per Za Memo 120. No Physical Work.,91331.0,1.0
Applications Submitted,444,Reviewed by Supervisor,6.0,,1.0,,10288 N BARTEE AVE,1 or 2 Family Dwelling,Building,15010-20000-02821,Bldg-New,2015-08-10 00:00:00,,"(N) 28'-5"" X 31'-4"" Det One-Story Second Dwelling Unit Per Za Memo # 120, Type Vb Construction.",91331.0,1.0
Applications Submitted,172,Verifications in Progress,12.0,,1.0,,10289-10291 N FARRALONE AVE,1 or 2 Family Dwelling,Building,10014-20000-02767,Bldg-Addition,2010-07-28 00:00:00,1763.0,"Add To 6'0"" X 21'6"" Patio Cover And 14'2"" X 17'6"" Irr-Shaped Den To (E) Sfd.  Add 14'2"" X 21'6"" Irr-Shaped Second Dwelling Unit Per Za Memorandum No. 120",91311.0,1.0
Permits with CofO,337,CofO Issued,7.0,2010-11-18 13:01:00,1.0,2010-06-16 15:19:00,10309 N O MELVENY AVE,1 or 2 Family Dwelling,Building,10016-20000-08809,Bldg-Alter/Repair,,560.0,"Convert (E) 20'-0"" X 28'-0"" Detached Garage To (N) Sfd/Second Dwelling Unit Per Za Memo No. 120; All Work Is Per Type V Sheet/City Standards.  See Permit #10014-20000-01790 For (N) Att. 2-Car Carport To (E) Sfd On Front Half Of Lot.  **See Comments**",91331.0,1.0
Permits with CofO,779,CofO Issued,7.0,2016-07-06 09:39:00,1.0,2015-08-26 14:02:00,10309 N WILSEY AVE,1 or 2 Family Dwelling,Building,15010-20000-01554,Bldg-New,,865.0,"(N) 42'-7"" X 22'-0"" Second Dwelling Unit Per Za Memo #120",91042.0,1.0
Applications Submitted,434,Reviewed by Supervisor,12.0,,,,10322 N ETON AVE,1 or 2 Family Dwelling,Building,15014-20001-01617,Bldg-Addition,2015-06-25 00:00:00,,Suppl To Revise From 2-Story Storage W/ Rec Rm Above To (N) 2-Story  2nd Dwlg Unit Per Za 120 W/Rec Rm Below & Enlarge (Addt'N) ,91311.0,1.0
Applications Submitted,481,Reviewed by Supervisor,7.0,,,,10323 N WHITEGATE AVE,1 or 2 Family Dwelling,Building,15010-10000-04565,Bldg-New,2015-12-22 00:00:00,,"New 1,085 Sf Dwelling Unit New 440 Sf Covered 2-Car Parking. (E)House Shall Comply With 2nd Dwelling Unit Pursuant To Zoning Memo No. 120 (Ab1866).  Additional Parking Provided For Ab1866 (E) Unit",91040.0,1.0
Permits with CofO,112,CofO Issued,6.0,2007-03-08 13:29:00,1.0,2006-11-02 00:00:00,10327 W LORNE ST,1 or 2 Family Dwelling,Building,06010-20000-01819,Bldg-New,,640.0,"New Detached 2nd Dwelling,  640 S.F.  (Per Type V).",91352.0,1.0
Applications Submitted,465,Reviewed by Supervisor,7.0,,1.0,,10329 N WHITEGATE AVE,1 or 2 Family Dwelling,Building,15014-20000-04933,Bldg-New,2015-10-27 00:00:00,,"(N) 2-Story 2nd Dwelling Unit Per Za 120 With Open Deck Above 1st Flr

**Clarify Bonus Proposed, Separate Plan Check And Permit Required For Separate Structures, Clarify Lot Legal/Lot Tie?",91040.0,1.0
Permits with CofO,270,CofO Issued,6.0,2009-04-09 13:37:00,1.0,2008-01-16 14:04:00,10332 W LORNE ST,1 or 2 Family Dwelling,Building,07010-20000-04755,Bldg-New,,640.0,New Det. 3 Car Garage W/2nd Dwlg Above - Per Ab 1866,91352.0,1.0
Permits without CofO ,35,Permit Expired,13.0,,1.0,2007-01-25 00:00:00,1034 N CORONADO ST,1 or 2 Family Dwelling,Building,06010-10000-04854,Bldg-New,,1120.0,New  Two Story  Sfd With Attached Garage (2nd Dwelling On The Lot) ***This Is Part 1 Of 2 Permits,90026.0,1.0
Permits without CofO ,200,Issued,15.0,,1.0,2015-07-06 14:17:00,1034 N MARINE AVE,1 or 2 Family Dwelling,Building,14014-40000-05515,Bldg-Addition,,736.0,One Story Addition To (E) Recreation Room And Convert To Second Dwelling Unit  Per Za Memorandum No. 120.,90744.0,1.0
Permits without CofO ,371,Issued,10.0,,1.0,2017-02-17 16:03:00,1034 S VICTORIA AVE,1 or 2 Family Dwelling,Building,15010-70000-04373,Bldg-New,,474.0,"(N) 2-Story Building 22'7"" X  24'11"" Irregular  (Garage: 487 Sq Ft; 2nd Floor Unit: 474 Sq Ft): 1 Bedroom, 1 Bathroom, Living Room, Kitchen. 
Second Dwelling Unit In R1 Zone As Allowed By Ab 1866.",90019.0,1.0
Applications Submitted,486,Verifications in Progress,5.0,,1.0,,10341 W ORTON AVE,1 or 2 Family Dwelling,Building,16014-30000-00188,Bldg-Addition,2016-01-19 00:00:00,,Addition Of 2nd Dwelling In 1st Floor And Addition On 2nd Story Of (E) Single Family Dwelling. New Deck Attached To Sfd ,90064.0,1.0
Permits with CofO,687,CofO Issued,2.0,2015-09-15 16:19:00,1.0,2014-09-24 10:24:00,10344 1/2 W LORNE ST,1 or 2 Family Dwelling,Building,14010-20000-02448,Bldg-New,,1199.0,"(N) 25'-7"" X 26'-10"" 2-Story Sfd Per Za 120. All Work Per Engineering.",91352.0,1.0
Permits with CofO,755,CofO Issued,12.0,2016-03-31 15:43:00,1.0,2015-03-17 14:35:00,10344 N DE SOTO AVE,1 or 2 Family Dwelling,Building,13010-20000-03600,Bldg-New,,1266.0,"New 1-Story, 58'-5"" X 30'-0"" Second Dwelling Unit Per Za Memo #120 With Attached Patio @ Rear.  Fire Sprinklers Req'D Through-Out (See Comments).",91311.0,1.0
Permits without CofO ,12,Permit Expired,6.0,,1.0,2004-12-10 00:00:00,10375 N SHARP AVE,1 or 2 Family Dwelling,Building,04010-20000-05298,Bldg-New,,640.0,"New 21' 6"" X 29' 9"" Second Dwelling With One Open Parking.",91331.0,1.0
Applications Submitted,456,Reviewed by Supervisor,7.0,,1.0,,10377 W MCBROOM ST,1 or 2 Family Dwelling,Building,15016-20000-19856,Bldg-Addition,2015-09-15 00:00:00,1762.0,"Convert Irr Shape 27'X55'6"" Accessory Living Quarter With Attached Garage  Into 2nd Dwelling Unit Pusuant To Za Memo# 120.
 Comply With Department Order Effective Date
07/16/2015. Permit Will Expire 30 Days From Issuance Date""",91040.0,1.0
Permits with CofO,492,CofO Issued,2.0,2013-08-05 14:27:00,1.0,2012-06-07 09:49:00,10408 N NEWHOME AVE,1 or 2 Family Dwelling,Building,12016-20000-06293,Bldg-Alter/Repair,,0.0,Convert 635 Sq Ft Portion Of (E) 2-Story Sfd Into A 2nd Dwlg Unit Per Za 120(8636 W. Wyngate St.),91040.0,1.0
Permits with CofO,564,CofO Issued,10.0,2014-06-03 13:49:00,1.0,2013-02-01 15:23:00,1041-1043 S BRONSON AVE,1 or 2 Family Dwelling,Building,12016-10000-14875,Bldg-Alter/Repair,,0.0,Converting Existing Bedroom Area Into Second Dwelling Unit.  Includes Const. Of (N) Porch Steps At Side Of Bldg.  Construction Per Wood Prescriptive Method.  Comply With Dept. Order Dated 6/21/12.  Permit Will Expire 30 Days From Issuance Date.,90019.0,1.0
Permits without CofO ,143,Issued,12.0,,1.0,2014-03-11 15:53:00,10416 N MILWOOD AVE,1 or 2 Family Dwelling,Building,13010-20000-00133,Bldg-New,,532.0,"New Irregular Shape (18'-6"" X 39'-3"") Second Dwelling Unit 532 Sq. Ft. Per Za Memorandum No. 120.

""Comply With Department Order Effective Date 12/10/2012.  Permit Will Expire 30 Days From Issuance Date.""",91311.0,1.0
Permits with CofO,404,CofO Issued,2.0,2012-03-08 13:04:00,1.0,2011-08-04 11:23:00,10417 N MARY BELL AVE,1 or 2 Family Dwelling,Building,11016-20000-08470,Bldg-Alter/Repair,,1069.0,Convert (1069sf) Guesthouse To (N) Detached Second Dwelling Unit,91040.0,1.0
Permits without CofO ,442,Issued,9.0,,1.0,2017-06-02 13:57:00,1042 W 55TH ST,1 or 2 Family Dwelling,Building,17016-10000-01586,Bldg-Addition,,325.0,"Convert (E) Garage To Adu Per Ab 2299 And Ab 1069. Addition To Adu.

""Comply With Department Order Effective Date
07/22/2015. Permit Will Expire 30 Days From Issuance Date""",90037.0,1.0
Applications Submitted,476,Corrections Issued,7.0,,1.0,,10425 1/2 N HADDON AVE,1 or 2 Family Dwelling,Building,15014-10000-05534,Bldg-Addition,2015-12-02 00:00:00,488.0,New 2nd Sfd (Irregular 40' X 20.66')  Per Za 120 Attached To Existing Garage.  Removal Of Ex Carport.,91331.0,1.0
Applications Submitted,366,Reviewed by Supervisor,2.0,,1.0,,10427 W CANTARA ST,1 or 2 Family Dwelling,Building,14016-20000-16918,Bldg-Alter/Repair,2014-08-22 00:00:00,662.0,"Convert (E) Rec. Toom To (N) Second Unit, Per Za Memo 120.  ""Comply With Department Order Effective Date 06/26/14. Permit Will Expire 30 Days From Issuance Date""",91352.0,1.0
Permits without CofO ,275,Issued,7.0,,1.0,2016-02-25 10:27:00,10431 N WHITEGATE AVE,1 or 2 Family Dwelling,Building,15010-20000-01128,Bldg-New,,789.0,New Irr. 32'X40' 2nd Dwelling Unit W/ Attached One-Car Garage Per Za Memo 120. Type V Construction. Fully Sprinklered Per Nfpa13d.,91040.0,1.0
Permits with CofO,215,CofO Issued,6.0,2008-09-09 16:34:00,1.0,2007-12-11 12:33:00,10431 W CANTARA ST,1 or 2 Family Dwelling,Building,07010-20000-04717,Bldg-New,,640.0,1 Story Sfd Per Ab 1866,91352.0,1.0
Applications Submitted,450,Verifications in Progress,7.0,,,,10433 N WHITEGATE AVE,1 or 2 Family Dwelling,Building,15010-20001-01128,Bldg-Alter/Repair,2015-08-19 00:00:00,,Supplemental To Revise Size Of 2nd Dwelling.  This Is Plan Check Only And Permit Is Issued Under 15010-20000-01128.,91040.0,1.0
Permits with CofO,864,CofO Issued,7.0,2017-04-05 12:23:00,1.0,2016-07-19 11:25:00,10441 N PLAINVIEW AVE,1 or 2 Family Dwelling,Building,15014-20000-04586,Bldg-Addition,,2295.0,New 2nd Unit Above (E) Sfd. Remodel (E)  Att. One Car Carport.,91042.0,1.0
Permits without CofO ,218,Issued,7.0,,1.0,2015-09-16 09:43:00,10442 N HILLHAVEN AVE,1 or 2 Family Dwelling,Building,14010-20000-01686,Bldg-Addition,,498.8,(N) 2nd Dwelling Unit Per Za Memorandum 120 Attached To (E) Carport (Fire Sprinklers Nfpa-13d Throughout),91042.0,1.0
Permits with CofO,774,CofO Issued,6.0,2016-06-16 10:41:00,1.0,2015-10-29 09:16:00,1045 W KESWICK ST,1 or 2 Family Dwelling,Building,15010-20000-02915,Bldg-New,,1000.0,"New 35'-5"" X 40'  Dwelling Unit With Attached Garage (Detached From Main Dwelling) Per Za 120. ",91352.0,1.0
Applications Submitted,600,Reviewed by Supervisor,10.0,,,,1046 S 4TH AVE,1 or 2 Family Dwelling,Building,17016-10000-04374,Bldg-Addition,2017-02-27 00:00:00,,Convert Existing Single Garage With Addition To Accessory 2nd Dwelling Unit Per Ab2299 And Sb 1069,90019.0,1.0
Permits with CofO,387,CofO Issued,10.0,2011-12-14 14:36:00,1.0,2011-05-23 14:48:00,1046-1048 S DEWEY AVE,1 or 2 Family Dwelling,Building,11014-10000-00373,Bldg-Addition,,668.0,Order To Comply For Legalize (N) Second Dwelling Unit Attached To (E) Sfd To Create A Duplex And A Separate Laundryroom;   Comply With Department Order Effective Date 04/09/2010. Permit Will Expire 30 Days From Issuance Date,90006.0,1.0
Permits without CofO ,28,CofO in Progress,9.0,,1.0,2006-06-20 00:00:00,1046-1048 W 61ST ST,1 or 2 Family Dwelling,Building,06014-10000-03651,Bldg-Addition,,1223.0,Add Second Unit With 2-Car Carport To Existing Sfd And Convert To Duplex;  Interior Remodel Of Existing Unit To Create 2 Additional Bedrooms And A Bath.   ,90044.0,1.0
Applications Submitted,550,Reviewed by Supervisor,7.0,,1.0,,10461 N HILLHAVEN AVE,1 or 2 Family Dwelling,Building,16016-20000-23521,Bldg-Alter/Repair,2016-09-30 00:00:00,1188.0,"Convert Existing Det 2-Story Garage & Storage Bldg To 2nd Dwelling Unit Per Ordinance #184,510. This Permit To Include One 'Open' Parking Stall.",91042.0,1.0
Permits with CofO,300,CofO Issued,6.0,2009-10-29 15:51:00,1.0,2008-08-25 14:24:00,10467 W CANTARA ST,1 or 2 Family Dwelling,Building,08010-20000-00516,Bldg-New,,640.0,"New 18'-10"" X 34' 2nd Dwelling At Rear Portion Of Lot Per Ab1866 (Max. 640 Sf)",91352.0,1.0
Applications Submitted,195,Reviewed by Supervisor,10.0,,1.0,,1047 S WINDSOR BLVD,1 or 2 Family Dwelling,Building,11016-10000-06032,Bldg-Alter/Repair,2011-04-04 00:00:00,0.0,"Convert Existing Two Story S.F.D. To Duplex- Converting 1080 Sf Of An Existing 3619 Sf Sfd To A 2nd Dwelling Unit.  (2nd Dwelling Per Ab1866 And Za Memorandum #120).
Related Electrical, Hvac And Plumbing",90019.0,1.0
Permits with CofO,149,CofO Issued,8.0,2007-11-18 17:12:00,2.0,2007-07-25 00:00:00,10470-10472 S VERMONT AVE,1 or 2 Family Dwelling,Building,07010-70000-01003,Bldg-New,,2063.0,Proposed New  2-Story Duplex  Consisting Of  One Unit  With  (3) Bedrooms &  (2) Bathrooms  And Second Unit  With  (2) Bedromms & (1) Bath.,90044.0,1.0
Permits with CofO,575,CofO Issued,7.0,2014-07-17 12:55:00,1.0,2013-09-19 09:30:00,10472 N REMICK AVE,1 or 2 Family Dwelling,Building,13014-20000-03510,Bldg-Addition,,-146.0,"Remove 4' X 36'-4"" From Rear Of Existing Rec-Room. Convert And Remodel 998 Sf Of The Existing Rec Rm & Garage For The Total Of 998 Sf Ot The Second Dwelling Unit Per Za Memorandum No.  120.  Add 339 Sf Of  Carport Per Order To Comply.",91331.0,1.0
