,EMPLOYEE_ID,GENDER,ETHNICITY,JOB_STATUS,DEPARTMENT_TITLE,DEPARTMENT_NBR,JOB_CLASS_TITLE,EMPLOYMENT_DATE,ANNUAL_ADDITIONAL_PAY,ANNUAL_BASE_RATE,ANNUAL_RATE
570,17668,Male,Black,Active,TRANSPORTATION,8501,SR TRANSP ENGINEER,1989-08-13,0.0,149981.04,149981.04
118,16520,Male,Filipino,Active,TRANSPORTATION,8501,FISCAL SYSTEMS SPEC II,1997-01-13,0.0,146765.52,146765.52
16258,11875,Male,Asian,Active,TRANSPORTATION,8501,SR SYSTEMS ANALYST II,1991-12-01,0.0,146765.52,146765.52
804,29312,Male,Caucasian,Active,TRANSPORTATION,8501,SR MGMT ANALYST II,2003-08-24,0.0,146744.64,146744.64
44323,381889,Male,Black,Active,TRANSPORTATION,8501,TAXICAB ADMINISTRATOR,2016-10-17,0.0,144677.52,144677.52
25593,283396,Female,Caucasian,Active,TRANSPORTATION,8501,COMNTY AFFRS ADVOCATE,2015-06-15,0.0,137995.92,137995.92
41497,44798,Female,Black,Active,TRANSPORTATION,8501,RISK MANAGER II,1988-07-25,0.0,134300.16,134300.16
27169,290171,Female,Hispanic,Active,TRANSPORTATION,8501,PR PROJECT COORDINATOR,2006-12-01,0.0,133277.04,133277.04
4452,18571,Male,Caucasian,Active,TRANSPORTATION,8501,SUPVSG TRANS PLANNR I,1983-10-02,0.0,131711.04,131711.04
212,16167,Male,Caucasian,Active,TRANSPORTATION,8501,TRANSP ENGINEER,2005-03-08,0.0,127555.92,127555.92
9319,29319,Male,Asian,Active,TRANSPORTATION,8501,TRANSP ENGRG ASSC IV,1997-01-27,0.0,127555.92,127555.92
18570,73428,Male,Caucasian,Active,TRANSPORTATION,8501,SAFETY ENGINEER,2015-09-08,0.0,124507.44,124507.44
42792,48859,Male,Caucasian,Active,TRANSPORTATION,8501,SIGNAL SYS SUPT,1985-11-17,0.0,124068.96,124068.96
11783,48816,Male,Asian,Active,TRANSPORTATION,8501,PR ACCOUNTANT II,1988-03-14,0.0,120039.12,120039.12
5987,50195,Female,Caucasian,Active,TRANSPORTATION,8501,SR SYSTEMS ANALYST I,1989-10-29,0.0,118661.04,118661.04
580,19610,Male,Filipino,Active,TRANSPORTATION,8501,SR MGMT ANALYST I,2001-04-10,0.0,118473.12,118473.12
6759,57820,Male,Filipino,Active,TRANSPORTATION,8501,INTERNAL AUDITOR III,1992-07-20,0.0,118473.12,118473.12
81,13783,Male,Asian,Active,TRANSPORTATION,8501,TRANSP ENGRG ASSC III,1995-02-20,0.0,117345.6,117345.6
4818,60719,Male,Asian,Active,TRANSPORTATION,8501,TRANSP PLANNING ASSC II,1989-08-13,0.0,108555.12,108555.12
8199,25594,Female,Hispanic,Active,TRANSPORTATION,8501,PARKING ENFORCE MGR II,1986-06-08,0.0,106613.28,106613.28
2101,41228,Male,Hispanic,Active,TRANSPORTATION,8501,SIGNAL SYSTEM SUPVR II,1975-11-02,0.0,106300.08,106300.08
956,17303,Male,Asian,Active,TRANSPORTATION,8501,TRANSP ENGRG ASSC II,2000-12-03,0.0,105444.0,105444.0
27053,291345,Male,Caucasian,Active,TRANSPORTATION,8501,GEOGRAPHIC INFORMATION SYSTEMS SPECIALIST,2011-11-20,0.0,102291.12,102291.12
7950,21855,Male,Hispanic,Active,TRANSPORTATION,8501,EQUIP SPECIALIST II,2000-04-17,0.0,101685.6,101685.6
3783,58887,Male,Black,Active,TRANSPORTATION,8501,SIGNAL SYSTEM SUPVR I,2003-05-05,0.0,101351.52,101351.52
1841,40836,Male,Filipino,Active,TRANSPORTATION,8501,MANAGEMENT ANALYST,2001-01-02,0.0,100307.52,100307.52
28089,299909,Male,Other,Active,TRANSPORTATION,8501,SYSTEMS ANALYST,2007-06-24,0.0,100307.52,100307.52
14824,40194,Female,Filipino,Active,TRANSPORTATION,8501,SR ACCOUNTANT II,1990-11-05,0.0,98950.32,98950.32
22635,90897,Male,Hispanic,Active,TRANSPORTATION,8501,TRAF MARK/SIGN SUPT II,2004-07-11,0.0,97572.24,97572.24
7811,21217,Male,Hispanic,Active,TRANSPORTATION,8501,SR TRANSP INVESTIGATOR,1986-03-09,0.0,96904.08,96904.08
459,12976,Male,Black,Active,TRANSPORTATION,8501,EQUIP REPAIR SUPVR,1995-04-02,0.0,95943.6,95943.6
816,26784,Male,Black,Active,TRANSPORTATION,8501,SR TRAFFIC SUPV III,1986-03-09,0.0,95630.4,95630.4
5782,50649,Male,Asian,Active,TRANSPORTATION,8501,AUDITOR II,2001-04-10,0.0,94586.4,94586.4
778,29672,Male,Caucasian,Active,TRANSPORTATION,8501,SIGNAL SYSTEM ELECTRCN,1988-10-30,4851.99,88218.0,93069.99
6330,61740,Female,Filipino,Active,TRANSPORTATION,8501,EXEC ADMIN ASST III,2001-06-11,0.0,92519.28,92519.28
13948,56666,Male,Hispanic,Active,TRANSPORTATION,8501,EQUIP SPECIALIST I,1997-02-18,0.0,91746.72,91746.72
33994,349251,Female,Caucasian,Active,TRANSPORTATION,8501,PROJECT COORDINATOR,2012-08-14,0.0,91391.76,91391.76
11969,44423,Male,Hispanic,Active,TRANSPORTATION,8501,SIGN SHOP SUPERVISOR,1988-10-03,0.0,90243.36,90243.36
10487,37550,Male,Black,Active,TRANSPORTATION,8501,SR TRAFFIC SUPV II,1988-05-22,4687.82,85232.16,89919.98
4775,44047,Male,Caucasian,Active,TRANSPORTATION,8501,TRANSP ENGRG AIDE II,1983-10-01,0.0,85566.24,85566.24
4764,20494,Female,Black,Active,TRANSPORTATION,8501,ADMIN HEARING OFCR,1987-06-21,0.0,84960.72,84960.72
6262,38308,Female,Black,Active,TRANSPORTATION,8501,SR COMMUN OPERATOR II,1980-09-22,4380.1,79636.32,84016.42
3010,49744,Male,Black,Active,TRANSPORTATION,8501,TRANSP INVESTIGATOR,1994-06-06,0.0,82684.8,82684.8
5110,30051,Male,Filipino,Active,TRANSPORTATION,8501,SR CIVIL ENGR DRAFT TEC,1991-08-11,0.0,82684.8,82684.8
16619,49061,Female,Asian,Active,TRANSPORTATION,8501,GRAPHICS DESIGNER II,1995-07-10,0.0,82684.8,82684.8
9649,36164,Male,Black,Active,TRANSPORTATION,8501,PARKG MTR TECH SPV II,1990-02-25,0.0,81995.76,81995.76
737,32908,Male,Black,Active,TRANSPORTATION,8501,TRAF MARK/SIGN SUPT I,1987-05-10,0.0,81703.44,81703.44
5619,23722,Male,Caucasian,Active,TRANSPORTATION,8501,SIGN PAINTER,1999-09-13,0.0,80513.28,80513.28
27374,288584,Male,Black,Active,TRANSPORTATION,8501,PAINTER,2006-10-29,0.0,80513.28,80513.28
2400,22316,Female,Black,Active,TRANSPORTATION,8501,SR TRAFFIC SUPV I,1980-09-26,4179.13,75982.32,80161.45
15682,53717,Male,Caucasian,Active,TRANSPORTATION,8501,MECH REPAIRER,2010-09-26,0.0,79803.36,79803.36
537,15705,Female,Black,Active,TRANSPORTATION,8501,PR CLERK,1997-08-31,0.0,79156.08,79156.08
5445,40807,Male,Caucasian,Active,TRANSPORTATION,8501,COMMUN INFO REP III,1988-06-19,7813.82,71033.76,78847.58
7594,69369,Female,Filipino,Active,TRANSPORTATION,8501,ACCOUNTANT,2001-09-09,0.0,78696.72,78696.72
19023,70257,Female,Black,Active,TRANSPORTATION,8501,PAYROLL SUPERVISOR I,2001-11-19,0.0,77256.0,77256.0
5003,28260,Male,Hispanic,Active,TRANSPORTATION,8501,CEMENT FINISHER,1999-08-02,0.0,77130.72,77130.72
552,19316,Male,Caucasian,Active,TRANSPORTATION,8501,TRANSP ENGRG AIDE I,1992-12-13,0.0,76462.56,76462.56
1611,42014,Male,Black,Active,TRANSPORTATION,8501,TRAF PNT SIGN POST III,1988-01-24,3964.33,72077.76,76042.09
13860,30320,Male,Black,Active,TRANSPORTATION,8501,PARKG MTR TECH SPV I,1990-05-21,0.0,75982.32,75982.32
1203,31499,Male,Hispanic,Active,TRANSPORTATION,8501,SR STOREKEEPER,2000-07-03,0.0,75857.04,75857.04
34573,354716,Male,Filipino,Active,TRANSPORTATION,8501,SR ACCOUNTANT I,2013-03-26,0.0,75606.48,75606.48
2727,54240,Male,Caucasian,Active,TRANSPORTATION,8501,ASST SIGNL SYS ELECTRCN,2001-02-05,3933.27,71514.0,75447.27
1416,32313,Male,Hispanic,Active,TRANSPORTATION,8501,CIVIL ENGRG DRAFT TECH,1994-07-10,0.0,74228.4,74228.4
30474,313765,Male,Filipino,Active,TRANSPORTATION,8501,TRANSP ENGRG ASSC I,2016-03-07,0.0,73831.68,73831.68
8060,16075,Male,Black,Active,TRANSPORTATION,8501,TRAF PAINT SIGN POST II,1987-05-10,3755.27,68277.6,72032.87
16227,21619,Female,Asian,Active,TRANSPORTATION,8501,ACCOUNTING CLERK,1989-09-11,1916.78,69697.44,71614.22
15048,14041,Female,Hispanic,Active,TRANSPORTATION,8501,SR ADMINISTRATIVE CLERK,2000-11-06,3629.99,66001.68,69631.67
38907,373010,Female,Caucasian,Active,TRANSPORTATION,8501,PLANNING ASSISTANT,2015-06-30,0.0,68736.96,68736.96
369,18766,Female,Black,Active,TRANSPORTATION,8501,TRAF OFFICER II,1987-10-04,3578.31,65062.08,68640.39
23707,101024,Female,Caucasian,Active,TRANSPORTATION,8501,GRAPHICS DESIGNER I,2005-07-25,0.0,68319.36,68319.36
16487,33901,Male,Asian,Active,TRANSPORTATION,8501,PARKING MTR TECHNICIAN,2001-02-25,0.0,67317.12,67317.12
4667,21786,Male,Black,Active,TRANSPORTATION,8501,STOREKEEPER II,1994-03-21,0.0,66001.68,66001.68
37409,369260,Female,Hispanic,Active,TRANSPORTATION,8501,MANAGEMENT ASSISTANT,2015-01-11,0.0,65751.12,65751.12
27953,299261,Male,Caucasian,Active,TRANSPORTATION,8501,ELECTRCL CRAFT HELPER,2007-06-10,3409.7,61992.72,65402.42
8414,22697,Male,Hispanic,Active,TRANSPORTATION,8501,TRAF PAINT SIGN POST I,1986-09-14,0.0,64686.24,64686.24
11804,43172,Female,Hispanic,Active,TRANSPORTATION,8501,PROJECT ASSISTANT,1984-11-08,0.0,63997.2,63997.2
17517,27924,Male,Hispanic,Active,TRANSPORTATION,8501,WAREHOUSE & T/R WKR I,1999-06-07,0.0,56438.64,56438.64
134,24140,Male,Black,Active,TRANSPORTATION,8501,MAINTENANCE LABORER,1989-06-04,2933.12,53327.52,56260.64
4458,19066,Female,Hispanic,Active,TRANSPORTATION,8501,ADMINISTRATIVE CLERK,1980-07-30,1470.47,53473.68,54944.15
36828,366865,Female,Black,Active,TRANSPORTATION,8501,TRAF OFFICER I,2015-04-06,0.0,47188.8,47188.8
39088,373512,Male,Hispanic,Active,TRANSPORTATION,8501,MAINTENANCE ASST,2015-07-13,0.0,38481.84,38481.84
33002,341764,Male,Hispanic,Active,TRANSPORTATION,8501,VOCATIONAL WORKER II,2011-08-28,1931.66,35120.16,37051.82
46939,390993,Female,Hispanic,Active,TRANSPORTATION,8501,OFFICE TRAINEE ADMIN CLERK,2017-10-02,0.0,36581.76,36581.76
1956,45565,Female,Caucasian,Leave,TRANSPORTATION,8501,MANAGEMENT ANALYST I,1994-11-07,0.0,0.0,0.0
43363,379454,Female,Caucasian,Active,TITLE V EMPLOY STIMULUS,1983,COMNTY/ADMN SUP WKR I,2016-07-05,0.0,29232.0,29232.0
2561,52378,Male,Asian,Active,RETIREMENT SYSTEM,1801,CH INVESTMENT OFCR,2012-07-10,0.0,241351.92,241351.92
6435,43578,Female,Hispanic,Active,RETIREMENT SYSTEM,1801,ASST GM-LACERS,2010-01-31,0.0,200531.52,200531.52
32399,333774,Male,Asian,Active,RETIREMENT SYSTEM,1801,INVESTMENT OFFICER III,2010-09-13,0.0,191866.32,191866.32
15836,26174,Female,Asian,Active,RETIREMENT SYSTEM,1801,CH BENEFITS ANALYST,1996-08-19,9631.68,175120.56,184752.24
3044,47628,Male,Asian,Active,RETIREMENT SYSTEM,1801,INFO SYSTEM MGR II,2001-01-08,0.0,170422.56,170422.56
19096,70593,Female,Hispanic,Active,RETIREMENT SYSTEM,1801,INVESTMENT OFFICER II,2001-12-17,0.0,170025.84,170025.84
21671,91937,Male,Black,Active,RETIREMENT SYSTEM,1801,DEPARTMENTAL AUDIT MGR,2004-09-13,0.0,165870.72,165870.72
8156,18461,Female,Asian,Active,RETIREMENT SYSTEM,1801,DEPT CHIEF ACCT III,1998-04-26,0.0,157852.8,157852.8
11736,48899,Female,Hispanic,Active,RETIREMENT SYSTEM,1801,SR PERSONNEL ANALYST II,2002-08-03,0.0,152737.2,152737.2
11505,47406,Female,Black,Active,RETIREMENT SYSTEM,1801,SR MGMT ANALYST II,1988-03-14,0.0,146744.64,146744.64
13306,56740,Female,Filipino,Active,RETIREMENT SYSTEM,1801,INTERNAL AUDITOR IV,2001-04-09,0.0,138998.16,138998.16
11125,36451,Female,Hispanic,Active,RETIREMENT SYSTEM,1801,PUB INFO DIRECTOR I,1989-03-12,0.0,123463.44,123463.44
35163,28082,Female,Asian,Active,RETIREMENT SYSTEM,1801,SR PERSONNEL ANALYST I,1999-01-11,0.0,123400.8,123400.8
7405,68967,Male,Asian,Active,RETIREMENT SYSTEM,1801,FISCAL SYSTEMS SPEC I,2001-08-06,0.0,119057.76,119057.76
15654,56370,Male,Asian,Active,RETIREMENT SYSTEM,1801,SR SYSTEMS ANALYST I,1990-03-12,0.0,118661.04,118661.04
1037,32054,Male,Caucasian,Active,RETIREMENT SYSTEM,1801,SR MGMT ANALYST I,1992-09-20,0.0,118473.12,118473.12
34583,354743,Male,Asian,Active,RETIREMENT SYSTEM,1801,INVESTMENT OFFICER I,2013-03-26,0.0,115967.52,115967.52
13885,60717,Female,Filipino,Active,RETIREMENT SYSTEM,1801,PROGRAMMER/ANALYST III,1998-09-14,0.0,107886.96,107886.96
28383,297826,Female,Filipino,Active,RETIREMENT SYSTEM,1801,PR ACCOUNTANT I,2007-05-14,0.0,107803.44,107803.44
4861,60760,Male,Asian,Active,RETIREMENT SYSTEM,1801,SYSTEMS ANALYST,1999-08-15,5517.02,100307.52,105824.54
10676,39698,Female,Caucasian,Active,RETIREMENT SYSTEM,1801,PERSONNEL ANALYST,1982-11-08,5517.02,100307.52,105824.54
12783,51620,Female,Caucasian,Active,RETIREMENT SYSTEM,1801,MANAGEMENT ANALYST,1982-08-02,5517.02,100307.52,105824.54
16723,32069,Female,Asian,Active,RETIREMENT SYSTEM,1801,SR ACCOUNTANT II,1999-10-10,0.0,98950.32,98950.32
8449,18977,Female,Filipino,Active,RETIREMENT SYSTEM,1801,EXEC ADMIN ASST III,1985-01-28,0.0,92519.28,92519.28
43602,32019,Female,Asian,Active,RETIREMENT SYSTEM,1801,PAYROLL SUPERVISOR I,1991-10-15,0.0,90911.52,90911.52
14956,53937,Female,Hispanic,Active,RETIREMENT SYSTEM,1801,EXEC ADMIN ASST II,1990-03-05,6076.08,84626.64,90702.72
12481,69112,Female,Caucasian,Active,RETIREMENT SYSTEM,1801,CH CLERK,2001-08-13,0.0,89491.68,89491.68
24261,98857,Female,Filipino,Active,RETIREMENT SYSTEM,1801,SR ACCOUNTANT I,2005-05-23,0.0,88948.8,88948.8
270,15008,Male,Caucasian,Active,RETIREMENT SYSTEM,1801,BENEFITS SPECIALIST,1984-04-16,0.0,79156.08,79156.08
8481,20869,Male,Asian,Active,RETIREMENT SYSTEM,1801,ACCOUNTING REC SUPVR I,1997-05-25,0.0,79156.08,79156.08
13380,57258,Male,Filipino,Active,RETIREMENT SYSTEM,1801,ACCOUNTANT,2000-07-02,0.0,78696.72,78696.72
10424,36008,Female,Caucasian,Active,RETIREMENT SYSTEM,1801,COMMISSION EXEC ASST I,1999-02-08,0.0,77047.2,77047.2
32440,334871,Female,Asian,Active,RETIREMENT SYSTEM,1801,PROGRAMMER/ANALYST II,2017-01-22,0.0,71388.72,71388.72
6095,52404,Male,Asian,Active,RETIREMENT SYSTEM,1801,ACCOUNTING CLERK,1983-10-31,0.0,69697.44,69697.44
10375,35938,Female,Caucasian,Active,RETIREMENT SYSTEM,1801,SR ADMINISTRATIVE CLERK,1993-05-03,0.0,66001.68,66001.68
3105,48722,Female,Black,Active,RETIREMENT SYSTEM,1801,ADMINISTRATIVE CLERK,1999-06-07,0.0,53473.68,53473.68
32841,340406,Female,Asian,Active,RETIREMENT SYSTEM,1801,MANAGEMENT ASSISTANT,2017-01-22,0.0,50132.88,50132.88
47097,388475,Female,Hispanic,Active,RETIREMENT SYSTEM,1801,OFFICE TRAINEE ADMIN CLERK,2017-06-26,1005.89,36581.76,37587.65
41995,378360,Female,Hispanic,Active,RETIREMENT SYSTEM,1801,OFFICE SVCS ASSISTANT,2017-03-19,0.0,36581.76,36581.76
35473,360309,Male,Other,Active,RETIREMENT SYSTEM,1801,RELIEF RETIRE WORKER,2017-09-18,0.0,34097.04,34097.04
15768,44910,Male,Caucasian,Active,RETIREMENT SYSTEM,1801,GM-LACERS,1989-12-18,0.0,281065.68,0.0
500,15422,Male,Black,Active,RETIREMENT OVER THE LIMIT AMT,1808,RETIREE OVER THE LIMIT,1971-09-07,0.0,0.0,0.0
1389,11981,Male,Caucasian,Active,RETIREMENT COMM,1809,COMMISSIONER,2013-09-10,0.0,104400.0,104400.0
38335,371806,Male,Hispanic,Active,REC PARKS SUMMER NIGHT PART TIME,7908,GRYD WORKER VI,2015-05-17,0.0,45936.0,45936.0
36599,365826,Female,Hispanic,Active,REC PARKS SUMMER NIGHT PART TIME,7908,GRYD WORKER IV,2016-06-01,0.0,35496.0,35496.0
38337,371809,Male,Hispanic,Active,REC PARKS SUMMER NIGHT PART TIME,7908,GRYD WORKER III,2015-05-27,0.0,31320.0,31320.0
38333,372351,Female,Hispanic,Active,REC PARKS SUMMER NIGHT PART TIME,7908,GRYD WORKER II,2015-05-27,0.0,27728.64,27728.64
35101,358388,Female,Black,Active,REC PARKS SUMMER NIGHT PART TIME,7908,GRYD WORKER I,2013-06-26,0.0,25640.64,25640.64
601,12226,Male,Caucasian,Active,REC PARKS REG FULL TIME,7901,GEN MGR REC & PARKS,1990-06-18,0.0,247469.76,247469.76
17264,20691,Male,Hispanic,Active,REC PARKS REG FULL TIME,7901,ASST GM REC & PARKS,1998-11-16,22968.0,200531.52,223499.52
5156,19022,Female,Caucasian,Active,REC PARKS REG FULL TIME,7901,CH FINANCIAL OFFICER,1996-04-28,0.0,198297.36,198297.36
513,10759,Male,Asian,Active,REC PARKS REG FULL TIME,7901,PERSONNEL DIR III,1985-06-24,5045.39,183472.56,188517.95
9653,36199,Female,Filipino,Active,REC PARKS REG FULL TIME,7901,PR CIVIL ENGR/PM III,1990-07-27,0.0,184474.8,184474.8
5868,43729,Male,Caucasian,Active,REC PARKS REG FULL TIME,7901,OBSERVATORY DIRECTOR II,1970-01-25,0.0,175120.56,175120.56
6763,68139,Female,Black,Active,REC PARKS REG FULL TIME,7901,EXEC DIR EXPO PK COMPLX,2001-08-13,0.0,175120.56,175120.56
36091,284118,Male,Caucasian,Active,REC PARKS REG FULL TIME,7901,CH MANAGEMENT ANALYST,2006-12-18,0.0,170422.56,170422.56
15362,47710,Male,Asian,Active,REC PARKS REG FULL TIME,7901,DIR OF SYSTEMS,1997-11-24,0.0,165870.72,165870.72
18332,58664,Female,Asian,Active,REC PARKS REG FULL TIME,7901,DEPT CHIEF ACCT IV,1999-08-02,0.0,165870.72,165870.72
1722,39610,Male,Hispanic,Active,REC PARKS REG FULL TIME,7901,SUPT OF R/P OPERATIONS,1978-03-05,0.0,152904.24,152904.24
1134,11185,Female,Black,Active,REC PARKS REG FULL TIME,7901,SR SYSTEMS ANALYST II,1988-03-28,0.0,146765.52,146765.52
197,12481,Male,Filipino,Active,REC PARKS REG FULL TIME,7901,SR MGMT ANALYST II,2003-03-04,0.0,146744.64,146744.64
26567,288253,Male,Caucasian,Active,REC PARKS REG FULL TIME,7901,OBSERVATORY DIRECTOR I,2006-10-30,0.0,145679.76,145679.76
18950,70313,Male,Asian,Active,REC PARKS REG FULL TIME,7901,SR PERSONNEL ANALYST II,2001-11-13,0.0,144677.52,144677.52
18869,69980,Male,Caucasian,Active,REC PARKS REG FULL TIME,7901,LANDSCAPE ARCH II,2001-11-05,0.0,134926.56,134926.56
38448,11794,Female,Caucasian,Active,REC PARKS REG FULL TIME,7901,BUILD CIVIL ENGR I,2017-02-13,0.0,134926.56,134926.56
327,10111,Male,Caucasian,Active,REC PARKS REG FULL TIME,7901,ELECTRCL ENGRG ASSC IV,2013-07-01,0.0,127555.92,127555.92
1571,23867,Male,Caucasian,Active,REC PARKS REG FULL TIME,7901,ENVIRONMENTAL SUPVR II,1999-10-25,0.0,127555.92,127555.92
4411,22086,Male,Asian,Active,REC PARKS REG FULL TIME,7901,LANDSCAPE ARCH I,1985-09-01,0.0,127555.92,127555.92
11138,41185,Male,Asian,Active,REC PARKS REG FULL TIME,7901,CIVIL ENGINEER,1989-07-31,0.0,127555.92,127555.92
17500,20914,Male,Filipino,Active,REC PARKS REG FULL TIME,7901,ARCHITECT,2000-06-04,0.0,127555.92,127555.92
27798,292550,Female,Asian,Active,REC PARKS REG FULL TIME,7901,SAFETY ENGINEER,2007-01-22,0.0,124507.44,124507.44
8959,28852,Male,Caucasian,Active,REC PARKS REG FULL TIME,7901,MARINE AQUARIUM ADMNSTR,1989-05-01,0.0,124361.28,124361.28
6110,48603,Male,Hispanic,Active,REC PARKS REG FULL TIME,7901,CONSTR & MAINT SUPV II,1994-08-01,0.0,123609.6,123609.6
28709,301907,Female,Black,Active,REC PARKS REG FULL TIME,7901,PUB INFO DIRECTOR I,2007-08-13,0.0,123463.44,123463.44
7662,21068,Female,Black,Active,REC PARKS REG FULL TIME,7901,SR PERSONNEL ANALYST I,1999-06-21,0.0,123400.8,123400.8
26504,288269,Female,Caucasian,Active,REC PARKS REG FULL TIME,7901,CURATOR OF GRIFFITH OBSERV,2006-11-01,0.0,123400.8,123400.8
3646,58520,Male,Asian,Active,REC PARKS REG FULL TIME,7901,SYSTEMS PROGRAMMER II,1999-01-19,0.0,120143.52,120143.52
8933,30907,Female,Asian,Active,REC PARKS REG FULL TIME,7901,PR ACCOUNTANT II,1999-11-21,0.0,120039.12,120039.12
5659,44398,Male,Caucasian,Active,REC PARKS REG FULL TIME,7901,PR GROUNDS MAINT SUPVII,1986-07-07,0.0,119705.04,119705.04
16911,11090,Male,Caucasian,Active,REC PARKS REG FULL TIME,7901,SR MGMT ANALYST I,1993-11-12,0.0,118473.12,118473.12
11833,49137,Male,Hispanic,Active,REC PARKS REG FULL TIME,7901,STRUCTRL ENGRG ASSC IV,1990-02-26,0.0,117575.28,117575.28
24872,283294,Male,Caucasian,Active,REC PARKS REG FULL TIME,7901,LANDSCAPE ARCH ASSC III,2006-07-10,0.0,117345.6,117345.6
87,13976,Female,Black,Active,REC PARKS REG FULL TIME,7901,PR REC SUPERVISOR II,1990-04-09,0.0,116489.52,116489.52
24211,98783,Female,Caucasian,Active,REC PARKS REG FULL TIME,7901,CITY PLANNING ASSOC,2005-05-22,0.0,105903.36,105903.36
7889,16484,Male,Caucasian,Active,REC PARKS REG FULL TIME,7901,PLUMBER SUPERVISOR,1987-09-14,0.0,105590.16,105590.16
31381,321241,Male,Hispanic,Active,REC PARKS REG FULL TIME,7901,AIR COND MECH SUPVR,2012-11-09,0.0,105590.16,105590.16
26479,287057,Male,Filipino,Active,REC PARKS REG FULL TIME,7901,LANDSCAPE ARCH ASSC II,2006-10-02,0.0,105444.0,105444.0
