,Overall Status,CD,COFO ISSUE DATE,DWELLING UNIT CHANGED,ISSUE DATE,JOB ADDRESS,PC SUBMT DATE,PERMIT GROUP,PERMIT NUMBER,PERMIT SUB-TYPE,PERMIT TYPE,SQUARE FOOTAGE,STATUS DESCRIPTION,USE DESCRIPTION,WORK DESCRIPTION,ZIP CODE,ADDRESS COUNT,ISSUE YEAR,PC YEAR
40,Permits with CofO,2.0,2017-02-23 15:49:00,1.0,2015-06-15 07:51:00,10215 W STAGG ST,,Building,15010-20000-00930,1 or 2 Family Dwelling,Bldg-New,840.0,CofO Issued,Dwelling - Single Family,"(N) 40' X 21'  2nd Dwlg W/ Open Parking In Rear - Per Za Memo 120
Must Be Sprinklered Thru-Out W/ Nfpa-13d
All Work Per Wfpp Sheet",91352.0,1.0,2015.0,
41,Permits with CofO,8.0,2012-12-17 08:41:00,1.0,2012-03-13 13:51:00,10217-10219 S HARVARD BLVD,,Building,12014-70000-00184,1 or 2 Family Dwelling,Bldg-Addition,417.0,CofO Issued,Duplex,One Story Addition (417 Sq. Ft.) To Existing 1 Story Single Family Dwelling Converting To A Duplex.(Second Dwelling Unit Pursuant To Ab 1866),90047.0,1.0,2012.0,
42,Applications Submitted,12.0,,1.0,,10218 N HAYVENHURST AVE,2017-02-16 00:00:00,Building,17014-20000-00633,1 or 2 Family Dwelling,Bldg-Addition,1753.6,Reviewed by Supervisor,Dwelling - Single Family,"Addition Of 13'-3"" X 33'-3"" To Rear Of (E) One Story Sfd. All Work Per Engineering. See Comments. Comply With Department Order Effective Date 01/25/2017. Permit Will Expire 30 Days From Issuance Date.  New Use:  Sfd W/Adu Per Ab 2299 And Ab 1069",91343.0,1.0,,2017.0
43,Applications Submitted,13.0,,1.0,,1022 N EDGEMONT ST,2017-06-26 00:00:00,Building,17014-20000-03041,1 or 2 Family Dwelling,Bldg-Addition,868.0,Reviewed by Supervisor,Accessory Dwelling Unit,"Add 21'-9"" X 23'-3"" To & Convert Garage To Accessory Dwelling Unit Per Ab 2299 & Sb 1069",90029.0,1.0,,2017.0
44,Permits with CofO,2.0,2015-06-04 10:26:00,1.0,2014-11-13 12:28:00,10220 W STAGG ST,,Building,14010-20000-03125,1 or 2 Family Dwelling,Bldg-New,748.0,CofO Issued,Dwelling - Single Family,"New 33'4"" X 24'4"" Detached 2nd Dwelling Unit In Rear Per Za-120 Memorandum. All Works Per Engineering. Nfpa13-D Fire Sprinkler Throughout. 

",91352.0,1.0,2014.0,
45,Permits without CofO,2.0,,1.0,2017-06-08 09:59:00,10229 W LANARK ST,,Building,17016-20000-13003,1 or 2 Family Dwelling,Bldg-Alter/Repair,335.0,Issued,Accessory Dwelling Unit,"Convert (E) 18'-2"" X 20'-3"" Detached Garage To Accessory Dwelling Unit Per Ab 2299 And Sb 1069.",91352.0,1.0,2017.0,
46,Permits without CofO,11.0,,1.0,2017-06-06 14:34:00,1023 E NOWITA PL,,Building,17014-30000-02266,1 or 2 Family Dwelling,Bldg-Addition,754.0,Issued,Accessory Dwelling Unit,Convert Existing 2-Car Garage Into Acceassory Dwelling Unit  Per Ab2299 And Sb1069,90291.0,1.0,2017.0,
47,Permits without CofO,9.0,,1.0,2017-07-18 15:34:00,1023-1025 W 53RD ST,,Building,17014-10000-01669,1 or 2 Family Dwelling,Bldg-Addition,251.0,Issued,Accessory Dwelling Unit,Add To & Convert (E) Detached One- Car Garage To An Accessory Dwelling Unit (Adu) Per Ab 2299 And Sb 1069 .  Comply With Department Order Effective Date 10/24/2016 . Permit Will Expire 30 Days From Issuance Date .,90037.0,1.0,2017.0,
48,Applications Submitted,7.0,,,,10234 N LAUREL CANYON BLVD,2006-03-29 00:00:00,Building,06016-20000-05779,1 or 2 Family Dwelling,Bldg-Alter/Repair,634.0,Reviewed by Supervisor,Dwelling - Single Family,Convert (E) Sfd To 2nd Dwlg Per Ab 1866.  Demo Breezeway Connection With Garage To Create A Detached 2nd Unit With A Floor  Area Of Less Than Max  640 Sq Ft.,91331.0,1.0,,2006.0
49,Permits without CofO,12.0,,1.0,2017-07-18 15:28:00,10235-10237 N FARRALONE AVE,,Building,17016-20000-02001,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Issued,Accessory Dwelling Unit,"Convert Existing Attached Accessory Living Quarters (418.88 Sq.Ft.) To Aceessory Dwelling Unit Per Ab 2299 & Sb 1069.
***
""Comply With Department Order Effective Date 11/08/2008.  Permit Will Expire 30 Days From Issuance Date""",91311.0,1.0,2017.0,
50,Permits without CofO,7.0,,1.0,2017-03-24 16:16:00,10236 N WOODWARD AVE,,Building,16010-20000-06454,1 or 2 Family Dwelling,Bldg-New,1190.0,Issued,Dwelling - Single Family,Proposed New Accessory Dwelling Unit Per Ab-2299 & Sb 1069 W/ One Open Parking Stalls,91040.0,1.0,2017.0,
51,Applications Submitted,6.0,,1.0,,10248 N VENA AVE,2011-07-25 00:00:00,Building,11014-20000-02660,1 or 2 Family Dwelling,Bldg-Addition,522.0,Reviewed by Supervisor,Garage - Private,"Addition To (E) Detached Garage (18'X18') And Convert To 2nd Dwelling Unit (43'6""X12') Pe R Za 120 . Comply With Department Order Effective Date 08/07/2008. Permit Will Expire 30 Days From Issuance Date",91331.0,1.0,,2011.0
52,Permits with CofO,2.0,2014-08-27 14:52:00,1.0,2014-04-03 11:07:00,10250 W ARMINTA ST,,Building,14010-20000-00422,1 or 2 Family Dwelling,Bldg-New,1064.0,CofO Issued,Dwelling - Single Family,Fully Sprinklered 19' X 28' Two Story Type V-B 2nd Dwelling Per Zoning Memo No. 120(Ab 1866),91352.0,1.0,2014.0,
53,Permits with CofO,6.0,2008-02-26 13:40:00,1.0,2007-09-18 14:52:00,10257 W STRATHERN ST,,Building,07010-20000-03581,1 or 2 Family Dwelling,Bldg-New,623.0,CofO Issued,Dwelling - Single Family,"New 26'6"" X 24' Second Dwelling Unit Per Ab 1866 With Attached Two Car Garage  Garage.  All Work Shall Comply With The Type ""V"" Sheet.",91352.0,1.0,2007.0,
54,Permits without CofO,7.0,,1.0,2014-11-10 12:15:00,10270 N SUNLAND BLVD,,Building,13010-30000-02849,1 or 2 Family Dwelling,Bldg-New,990.0,Issued,Dwelling - Single Family,New Second Dwelling Unit Per Za Memorandum No. 120 (Ab 1866).,91040.0,1.0,2014.0,
55,Applications Submitted,11.0,,1.0,,1028 E NOWITA PL,2017-05-16 00:00:00,Building,16014-30001-02660,1 or 2 Family Dwelling,Bldg-New,570.0,Reviewed by Supervisor,Garage - Private,New Adu Per Ab2299 And Sb1069. 1st Floor Garage & Storage. 2nd Fl Adu,90291.0,1.0,,2017.0
56,Permits without CofO,6.0,,,2014-03-07 16:44:00,10282 N BARTEE AVE,,Building,13016-20000-19103,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Permit Finaled,Dwelling - Single Family,Convert Existing Front Dwelling To 2nd  Dwelling Per Za Memo 120. No Physical Work.,91331.0,1.0,2014.0,
57,Applications Submitted,6.0,,1.0,,10288 N BARTEE AVE,2015-08-10 00:00:00,Building,15010-20000-02821,1 or 2 Family Dwelling,Bldg-New,,Reviewed by Supervisor,Dwelling - Single Family,"(N) 28'-5"" X 31'-4"" Det One-Story Second Dwelling Unit Per Za Memo # 120, Type Vb Construction.",91331.0,1.0,,2015.0
58,Applications Submitted,12.0,,1.0,,10289-10291 N FARRALONE AVE,2010-07-28 00:00:00,Building,10014-20000-02767,1 or 2 Family Dwelling,Bldg-Addition,1763.0,Verifications in Progress,Duplex,"Add To 6'0"" X 21'6"" Patio Cover And 14'2"" X 17'6"" Irr-Shaped Den To (E) Sfd.  Add 14'2"" X 21'6"" Irr-Shaped Second Dwelling Unit Per Za Memorandum No. 120",91311.0,1.0,,2010.0
59,Applications Submitted,11.0,,1.0,,1029 E SUPERBA AVE,2017-03-16 00:00:00,Building,17014-30000-01150,1 or 2 Family Dwelling,Bldg-Addition,,Corrections Issued,Accessory Dwelling Unit,Convert Existing Detached Garage Into Accessory Dwelling Unit Per Ab 2299 And Sb 1069.,90291.0,1.0,,2017.0
60,Permits with CofO,7.0,2010-11-18 13:01:00,1.0,2010-06-16 15:19:00,10309 N O MELVENY AVE,,Building,10016-20000-08809,1 or 2 Family Dwelling,Bldg-Alter/Repair,560.0,CofO Issued,Dwelling - Single Family,"Convert (E) 20'-0"" X 28'-0"" Detached Garage To (N) Sfd/Second Dwelling Unit Per Za Memo No. 120; All Work Is Per Type V Sheet/City Standards.  See Permit #10014-20000-01790 For (N) Att. 2-Car Carport To (E) Sfd On Front Half Of Lot.  **See Comments**",91331.0,1.0,2010.0,
61,Permits with CofO,7.0,2016-07-06 09:39:00,1.0,2015-08-26 14:02:00,10309 N WILSEY AVE,,Building,15010-20000-01554,1 or 2 Family Dwelling,Bldg-New,865.0,CofO Issued,Dwelling - Single Family,"(N) 42'-7"" X 22'-0"" Second Dwelling Unit Per Za Memo #120",91042.0,1.0,2015.0,
62,Permits without CofO,9.0,,1.0,2017-05-09 14:35:00,1031-1033 W 51ST PL,,Building,17016-20000-11434,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Issued,Dwelling - Single Family,"Convert (E) 35'4"" X 20'11"" (Irr. Shape) Portion Of Rear Dwelling To An Accessory Dwelling Unit Per Ab 2299 And Sb 1069. Convert Portion Of (E) Hallway And Bedroom To (2) 3/4 Bathrooms. All Work Per Wfpp. 

---------------------- Comply With Department Order Effective Date 4/6/2017, Permit Will Expire 30 Days From Issuance Date.",90037.0,1.0,2017.0,
63,Applications Submitted,15.0,,1.0,,1032 W G ST,2017-06-22 00:00:00,Building,17016-70000-17072,1 or 2 Family Dwelling,Bldg-Alter/Repair,330.0,Reviewed by Supervisor,Accessory Dwelling Unit,Convert (E) 2-Car Garage To Accessory Dwelling Unit. ,90744.0,1.0,,2017.0
64,Applications Submitted,12.0,,,,10322 N ETON AVE,2015-06-25 00:00:00,Building,15014-20001-01617,1 or 2 Family Dwelling,Bldg-Addition,,Reviewed by Supervisor,,Suppl To Revise From 2-Story Storage W/ Rec Rm Above To (N) 2-Story  2nd Dwlg Unit Per Za 120 W/Rec Rm Below & Enlarge (Addt'N) ,91311.0,1.0,,2015.0
65,Applications Submitted,7.0,,,,10323 N WHITEGATE AVE,2015-12-22 00:00:00,Building,15010-10000-04565,1 or 2 Family Dwelling,Bldg-New,,Reviewed by Supervisor,Dwelling - Single Family,"New 1,085 Sf Dwelling Unit New 440 Sf Covered 2-Car Parking. (E)House Shall Comply With 2nd Dwelling Unit Pursuant To Zoning Memo No. 120 (Ab1866).  Additional Parking Provided For Ab1866 (E) Unit",91040.0,1.0,,2015.0
66,Permits with CofO,6.0,2007-03-08 13:29:00,1.0,2006-11-02 00:00:00,10327 W LORNE ST,,Building,06010-20000-01819,1 or 2 Family Dwelling,Bldg-New,640.0,CofO Issued,Dwelling - Single Family,"New Detached 2nd Dwelling,  640 S.F.  (Per Type V).",91352.0,1.0,2006.0,
67,Applications Submitted,7.0,,1.0,,10329 N WHITEGATE AVE,2015-10-27 00:00:00,Building,15014-20000-04933,1 or 2 Family Dwelling,Bldg-New,,Reviewed by Supervisor,Dwelling - Single Family,"(N) 2-Story 2nd Dwelling Unit Per Za 120 With Open Deck Above 1st Flr

**Clarify Bonus Proposed, Separate Plan Check And Permit Required For Separate Structures, Clarify Lot Legal/Lot Tie?",91040.0,1.0,,2015.0
68,Permits with CofO,6.0,2009-04-09 13:37:00,1.0,2008-01-16 14:04:00,10332 W LORNE ST,,Building,07010-20000-04755,1 or 2 Family Dwelling,Bldg-New,640.0,CofO Issued,Dwelling - Single Family,New Det. 3 Car Garage W/2nd Dwlg Above - Per Ab 1866,91352.0,1.0,2008.0,
