,EMPLOYEE_ID,GENDER,ETHNICITY,JOB_STATUS,DEPARTMENT_TITLE,DEPARTMENT_NBR,JOB_CLASS_TITLE,EMPLOYMENT_DATE,ANNUAL_ADDITIONAL_PAY,ANNUAL_BASE_RATE,ANNUAL_RATE
35009,357122,Female,Black,Active,PW DONALD C TILLMAN WATER RECLAMATION PLANT,7061,PROJECT ASSISTANT,2017-11-13,0.0,48796.56,48796.56
13715,14740,Female,Caucasian,Active,PW D C TILLMAN WATER RECLM,7012,SANITATION WSTWATER MGR III,1990-02-25,0.0,175120.56,175120.56
21503,80798,Female,Filipino,Active,PW CUSTOMER CARE,7033,SOLID RESOURCES MGR II,2003-05-18,0.0,144844.56,144844.56
14601,31860,Female,Asian,Active,PW CONTRACT ADMINS,6001,ASST DIR BUR CONTR ADMN,1986-11-24,0.0,177897.6,177897.6
14510,28914,Female,Black,Active,PW ADMINISTRATION DIVISION,7006,CH MANAGEMENT ANALYST,1987-10-19,0.0,161423.28,161423.28
41296,378029,Female,Hispanic,Active,PW ADMINISTRATION AS NEEDED,7066,PROJECT COORDINATOR,2016-05-16,0.0,64226.88,64226.88
1410,36473,Female,Filipino,Active,PW ADMINISTRATION & FINANCIAL MANAGEMENT,7405,CH MANAGEMENT ANALYST,1995-01-01,0.0,161423.28,161423.28
6758,57808,Female,Filipino,Active,PW ACCOUNTING,5202,DEPT CHIEF ACCT IV,1994-05-02,0.0,175120.56,175120.56
243,14475,Female,Black,Active,PW  INVESTIGATION & ENFORCEMENT,7402,SR ST SVC INVEST II,2001-04-10,8440.74,102312.0,110752.74
34925,357555,Female,Caucasian,Active,PUBLIC ACCOUNTABILITY,1101,UTILITY RATES & POLICY SPECIALIST III,2013-06-16,0.0,179066.88,179066.88
3451,11098,Female,Caucasian,Active,POLICE AS NEEDED,4303,COMM HEARING EXMR,1992-11-23,0.0,1879200.0,1879200.0
1304,30640,Female,Caucasian,Active,POLICE,4301,POLICE DEPUTY CHIEF II,1985-07-22,0.0,276012.72,276012.72
32478,335094,Female,Other,Active,PLANNING AS NEEDED,4203,STUDENT PROF WORKER,2010-12-06,0.0,37145.52,37145.52
33887,158231,Female,Caucasian,Active,PLANNING,4201,DEPUTY DIR OF PLANNING,2012-06-17,0.0,200531.52,200531.52
727,27161,Female,Caucasian,Active,PERSONNEL C S 2,2002,COMM HEARING EXMR,2003-12-22,0.0,1879200.0,1879200.0
37215,368606,Female,Asian,Active,PERSONNEL C S 1,2001,GEN MGR PERSONNEL DEPT,2014-12-08,0.0,240725.52,240725.52
42267,49638,Female,Caucasian,Active,P W GENERAL OFFICE,5001,MOTION PICTURE AND TELEVISION MANAGER,1995-04-16,0.0,157497.84,157497.84
6941,12483,Female,Caucasian,Active,P W ENGINEERING,6201,DEPUTY CITY ENGINEER II,2001-01-08,24584.9,223499.52,248084.42
48068,389502,Female,Hispanic,Active,P W BD - AS NEEDED,5003,STUDENT PROF WORKER,2017-08-04,0.0,34243.2,34243.2
35836,363435,Female,Other,Active,OFC OF FINANCE AS NEEDED,8605,SR TAX RENEWAL ASST I,2014-03-23,975.1,35454.24,36429.34
11910,43465,Female,Caucasian,Active,OFC OF FIN (REV MGMT/CITYWIDE),8603,DIR OF FINANCE,1986-09-14,0.0,260958.24,260958.24
40097,375195,Female,Other,Active,NEIGHBORHOOD EMPOWERMENT - AS NEEDED,4702,ELECTION ASSISTANT IV,2017-03-28,0.0,43848.0,43848.0
28656,305600,Female,Asian,Active,NEIGHBORHOOD EMPOWERMENT,4701,GEN MGR NEIBRHD EMPWMNT,2007-11-18,0.0,180925.2,180925.2
32664,339192,Female,Asian,Active,MAYOR GRANT REIMBURSED,3652,MAYORAL AIDE VIII,2012-03-27,0.0,110288.16,110288.16
31879,326649,Female,Filipino,Active,MAYOR - AS NEEDED,3654,MAYORAL AIDE V,2009-08-03,0.0,75168.0,75168.0
6522,63583,Female,Hispanic,Active,MAYOR,3651,CH OF STAFF MAYOR,2001-07-02,0.0,222225.84,222225.84
605,24692,Female,Black,Active,LOS ANGELES ZOO,8701,ZOO ASST GM,1988-07-05,0.0,192972.96,192972.96
46383,389761,Female,Filipino,Active,LOCAL LIBRARY JOB PROGRAM,3508,MESSENGER CLERK,2017-08-07,0.0,32635.44,32635.44
18559,17670,Female,Black,Active,LIBRARY COMM,3509,COMMISSIONER,2002-04-02,0.0,104400.0,0.0
10445,52883,Female,Caucasian,Active,LIBRARY - AS NEEDED,3502,PR LIBRARIAN I,1967-10-09,0.0,121793.04,121793.04
361,18656,Female,Caucasian,Active,LIBRARY,3501,CH MANAGEMENT ANALYST,1987-08-17,0.0,165870.72,165870.72
36355,365189,Female,Asian,Active,LAFPP - AS NEEDED,5252,RELIEF RETIRE WORKER,2014-06-03,0.0,34097.04,34097.04
3276,45386,Female,Caucasian,Active,L A CONVTN CTR EMPLY AS NEEDED,4002,SR SALES REP II,1981-08-03,0.0,121793.04,121793.04
25498,106371,Female,Hispanic,Active,L A CONVENTION CTR COMM,4009,COMMISSIONER,2006-01-18,0.0,52200.0,52200.0
37608,94528,Female,Other,Active,L A CONVENTION CENTER,4001,ASST GM CONVENTION CTR,2005-01-09,0.0,152904.24,152904.24
43038,233680,Female,Asian,Active,ITA - TELECOMMUNICATIONS,8301,CABLE TV PRODUCT MGR II,2016-07-06,0.0,114422.4,114422.4
6667,55973,Female,Caucasian,Active,INFO TECHNOLOGY AGENCY,2701,INFO SYSTEM MGR II,1995-12-03,0.0,175120.56,175120.56
36687,366783,Female,Asian,Active,I T A AS NEEDED,2702,STUDENT PROF WORKER,2014-08-01,0.0,34243.2,34243.2
11106,36879,Female,Hispanic,Active,I T A - HIRING HALL,2791,COMMUN ELECTRICN I  - H,2015-02-07,0.0,76462.56,76462.56
366,18726,Female,Asian,Active,I T A - GENERAL ADMIN,2704,ASST GM INFO TECH AGENCY,1985-03-31,0.0,200531.52,200531.52
17790,47683,Female,Asian,Active,I T A - COMMUNICATION,2703,DIR OF COMMUNICATN SVCS,1985-07-07,0.0,175120.56,175120.56
2327,36168,Female,Caucasian,Active,HOUSING SYSTEM DIV,3908,SR SYSTEMS ANALYST II,1982-07-12,0.0,146765.52,146765.52
28457,52384,Female,Caucasian,Active,HOUSING STRATEGIES & SERVICES,3925,DIR OF HOUSING,2007-04-09,0.0,175120.56,175120.56
20950,92735,Female,Hispanic,Active,HOUSING RENT STABILIZATION COMM,3919,MEM RENT ADJUST COMMSN,2004-09-21,0.0,104400.0,104400.0
11445,46980,Female,Hispanic,Active,HOUSING RENT STABILIZATION,3901,DIR ENFORCEMENT OPER,1984-02-12,0.0,175120.56,175120.56
1955,45542,Female,Black,Active,HOUSING PROGRAM OPERATIONS,3927,ASST CH GRANTS ADMINSTR,1984-07-30,0.0,145679.76,145679.76
4836,24835,Female,Caucasian,Active,HOUSING EXECUTIVE MANAGEMENT1,3900,ASST GM LA HOUSING DEPT,2014-02-11,21172.32,184871.52,206043.84
12073,45736,Female,Black,Active,HOUSING ENFORCEMENT,3906,SR MGMT ANALYST I,2005-10-16,0.0,118473.12,118473.12
18083,69892,Female,Caucasian,Active,HOUSING DEVELOPMENT & FINANCE,3924,FINANCE DEV OFFICER II,2001-10-22,0.0,137515.68,137515.68
1505,23076,Female,Caucasian,Active,HOUSING CONSOLIDATED PLANNING,3926,CH MANAGEMENT ANALYST,1988-12-18,0.0,161423.28,161423.28
4819,60730,Female,Caucasian,Active,HOUSING COMPLIANCE DIVISION,3915,DIR ENFORCEMENT OPER,1999-01-21,0.0,175120.56,175120.56
30609,310419,Female,Hispanic,Active,HOUSING ASSET MANAGEMENT,3916,SR HSG PLNG/ECON ANLYST,2008-03-17,0.0,151567.92,151567.92
35575,361284,Female,Asian,Active,HOUSING AS NEEDED,3905,ACCOUNTANT,2013-12-02,0.0,58380.48,58380.48
25163,105324,Female,Hispanic,Active,HOUSING ADMINISTRATIVE SERVICES,3902,SR MGMT ANALYST II,2006-01-09,0.0,124695.36,124695.36
13546,58550,Female,Filipino,Active,HOUSING ACCOUNTING DIVISION,3914,DEPT CHIEF ACCT III,2007-09-30,0.0,153635.04,153635.04
46880,390776,Female,Hispanic,Active,HARBOR - HIRING HALL,3291,CITY CRAFT ASSISTANT-HH,2017-09-21,0.0,51782.4,51782.4
8916,28820,Female,Black,Active,HARBOR,3201,FIRST DEPUTY GM HARBOR,1999-09-12,0.0,229137.12,229137.12
12240,45891,Female,Black,Active,GSD STANDARDS,3371,SR CHEMIST,1986-10-19,0.0,108408.96,108408.96
38684,372702,Female,Asian,Active,GSD SPECIAL OPERATIONS,3306,SAFETY ENGINEER,2015-06-23,0.0,92373.12,92373.12
8991,25689,Female,Filipino,Active,GSD SMS SUPPORT,3384,FISCAL SYSTEMS SPEC I,2015-03-03,0.0,125697.6,125697.6
17218,34935,Female,Filipino,Active,GSD PURCHASING,3382,DEPT CHIEF ACCT II,1984-05-18,0.0,134300.16,134300.16
4053,61464,Female,Asian,Active,GSD PRINT SHOP/REVOLVING,4401,SR ACCOUNTANT II,1999-04-11,0.0,98950.32,98950.32
3497,45919,Female,Hispanic,Active,GSD PARKING SVCS AS NEEDED,3352,SR PARKG ATTENDANT I,2003-03-04,2883.53,52429.68,55313.21
22678,90351,Female,Hispanic,Active,GSD PARKING SERVICES,3363,PARKING ATTENDANT I,2004-07-01,2056.68,37396.08,39452.76
4903,27790,Female,Black,Active,GSD OPERATION SUPPORT,3383,MANAGEMENT ANALYST,1988-04-25,0.0,100307.52,100307.52
4490,18707,Female,Black,Active,GSD MIS,3305,SR SYSTEMS ANALYST II,1985-09-09,0.0,146765.52,146765.52
23165,94357,Female,Filipino,Active,GSD MATERIALS MANAGEMENT,3381,SUPPLY SVCS MANAGER II,2004-12-27,0.0,161423.28,161423.28
18148,44873,Female,Unknown,Active,GSD MAIL/MESSENGER SERVICES,3366,CH CLERK,1980-03-10,0.0,94482.0,94482.0
12518,62571,Female,Hispanic,Active,GSD HIRING HALL/CONSTRUCTION,3391,CITY CRAFT ASSISTANT-HH,2017-08-09,0.0,51782.4,51782.4
17865,70939,Female,Caucasian,Active,GSD HIRING HALL/BLDG MAINT,4491,CARPENTER - HH,2002-11-12,0.0,89220.24,89220.24
38641,371646,Female,Black,Active,GSD FLEET SERVICES,3351,HELICOPTER MECH,2015-05-18,10284.97,93500.64,103785.61
25375,285433,Female,Black,Active,GSD FLEET REENGINEERING,3332,SR ADMINISTRATIVE CLERK,2006-08-28,0.0,66001.68,66001.68
3791,11986,Female,Filipino,Active,GSD FINANCE/SPEC PROJ,3302,CH MANAGEMENT ANALYST,1990-12-03,0.0,144844.56,144844.56
8027,17771,Female,Caucasian,Active,GSD EXECUTIVE,3301,ASST GM GEN SVCS DEPT,1985-06-16,0.0,200531.52,200531.52
13533,14583,Female,Caucasian,Active,GSD CUSTODIAL SERVICES,3361,CH MANAGEMENT ANALYST,1994-10-16,0.0,175120.56,175120.56
13062,53596,Female,Caucasian,Active,GSD CONSTRUCTION FORCES,3362,BUILD CON & MT GN SUPII,2003-08-10,0.0,175120.56,175120.56
22047,84634,Female,American Indian,Active,GSD BUILDING MAINTENANCE,3364,BUILD CON & MT GN SUPII,2000-10-10,0.0,170422.56,170422.56
10288,34664,Female,Caucasian,Active,GSD ASSET MANAGEMENT,3331,CH MANAGEMENT ANALYST,1987-01-05,0.0,175120.56,175120.56
18233,49895,Female,Black,Active,GSD AS NEEDED/MISC,3321,SR MGMT ANALYST I,2000-04-24,0.0,118473.12,118473.12
172,21549,Female,Asian,Active,GSD ACCOUNTING,3303,DEPT CHIEF ACCT III,1977-01-31,0.0,149521.68,149521.68
6465,62906,Female,Caucasian,Active,FIRE POLICE PEN,5251,CH BENEFITS ANALYST,2001-07-01,0.0,175120.56,175120.56
18823,71650,Female,Black,Active,FIRE COMMISSION,3009,COMMISSIONER,2013-09-13,0.0,104400.0,104400.0
2604,52997,Female,Asian,Active,FIRE CIVILIAN,3002,FIRE ADMINISTRATOR,1968-04-26,0.0,200531.52,200531.52
751,14981,Female,Caucasian,Active,FIRE - FIREFIGHTERS,3001,FIRE DEPUTY CHIEF,1999-10-12,6410.16,213372.72,219782.88
34421,352161,Female,Hispanic,Active,F P PENSION COMM,5259,COMMISSIONER,2012-12-05,0.0,104400.0,104400.0
35602,175646,Female,Hispanic,Active,EMPLOYEE RELATIONS BD,2909,MEM EMPL RELATIONS BD,2013-11-22,0.0,1879200.0,1879200.0
5655,44259,Female,Hispanic,Active,EMPLOYEE RELATIONS,2901,COMMISSION EXEC ASST I,1979-10-15,0.0,79156.08,79156.08
14106,12860,Female,Black,Active,EMERGENCY MANAGEMENT DEPT,1301,EMERGNCY MGT COORD II,2001-04-10,7177.5,146556.72,153734.22
39716,374408,Female,Asian,Active,EMERGENCY MANAGEMENT AS NEEDED,1302,ADMIN INTERN,2015-09-21,0.0,41801.76,41801.76
37099,368261,Female,Filipino,Active,EL PUEBLO AS NEEDED,4183,PROJECT ASSISTANT,2014-10-28,0.0,48796.56,48796.56
21155,82695,Female,Asian,Active,EL PBLO LA HIST MNT AUT,4182,ASST GM EL PUEBLO HIST,2003-07-01,0.0,152883.36,152883.36
35167,69801,Female,Black,Active,EDD WORKFORCE DEVELOPMENT,1935,ASST CH GRANTS ADMINSTR,2001-10-29,0.0,127200.96,127200.96
16788,26724,Female,Black,Active,EDD INFORMATION TECHNOLOGY,1961,SR SYSTEMS ANALYST I,1995-05-28,0.0,118661.04,118661.04
5322,41837,Female,Filipino,Active,EDD FINANCIAL MANAGEMENT,1910,DEPT CHIEF ACCT IV,1990-11-04,0.0,175120.56,175120.56
7273,13175,Female,Black,Active,EDD EXECUTIVE MANAGEMENT,1900,GM EWDD,1990-06-18,0.0,225733.68,225733.68
19400,73416,Female,Asian,Active,EDD ECONOMIC DEVELOPMENT DIVISION,1971,INDUST COMRCL FIN OFRII,2002-07-01,0.0,144969.84,144969.84
17252,33967,Female,Caucasian,Active,EDD ADMINISTRATIVE SERVICES,1921,MANAGEMENT ANALYST,1997-12-07,0.0,100307.52,100307.52
30206,312388,Female,Other,Active,DEPT ON DISABILITY COMM,2109,MEM COMMSN ON DISABILTY,2007-07-01,0.0,104400.0,104400.0
9573,31707,Female,Caucasian,Active,DEPT ON DISABILITY,2101,SR PROJECT COORDINATOR,1997-11-17,0.0,111582.72,111582.72
36739,366625,Female,Caucasian,Active,CULTURAL AFFAIRS,2501,GEN MGR CULTURAL AFFAIR,2014-07-01,0.0,183305.52,183305.52
15934,52540,Female,Caucasian,Active,COUNCIL AS NEEDED,2802,ASST CH LEGIS ANALYST,1985-06-03,46234.58,210157.2,256391.78
1315,22740,Female,Asian,Active,COUNCIL,2801,CH LEGISLATIVE ANALYST,1984-02-19,0.0,348549.84,348549.84
3328,57457,Female,Filipino,Active,CONTROLLER AS NEEDED,2602,FINANCIAL MGMT SPEC V,2016-11-30,0.0,176811.84,176811.84
545,19253,Female,Caucasian,Active,CONTROLLER,2601,CH DEPUTY CONTROLLER,2016-07-25,24584.9,223499.52,248084.42
43543,382688,Female,Caucasian,Active,CLT AFFAIR AS NEEDED,2502,ARTS MANAGER II,2016-10-31,0.0,95505.12,95505.12
26221,282728,Female,Caucasian,Active,CITY ETHICS COMM/STAFF,1701,EXEC OFCR CITY ETH COMM,2006-07-05,0.0,210157.2,210157.2
43574,383992,Female,Caucasian,Active,CITY ETHICS COMM-AS NEEDED,1702,AUDITOR I,2017-01-30,0.0,57774.96,57774.96
23579,99947,Female,Caucasian,Active,CITY ETHICS COMM,1709,COMMISSIONER,2014-10-17,0.0,104400.0,104400.0
43303,380118,Female,Asian,Active,CITY CLK - ELECTION,1651,PR ELECTION CLERK,2016-08-01,0.0,44912.88,44912.88
8117,16887,Female,Asian,Active,CITY CLERK ELECTION FULL-TIME,1603,CH MANAGEMENT ANALYST,2001-04-10,0.0,165870.72,165870.72
21961,88428,Female,Hispanic,Active,CITY CLERK - GENERAL,1631,PROJECT ASSISTANT,2016-03-07,0.0,50132.88,50132.88
7553,11396,Female,Caucasian,Active,CITY CLERK,1601,CITY CLERK,2001-04-10,0.0,228260.16,228260.16
16159,60079,Female,Asian,Active,CDD STUDENT WORKERS-AS NEEDED,3456,COMNTY/ADMN SUP WKR III,2000-05-15,0.0,39943.44,39943.44
44791,382006,Female,Hispanic,Active,CAO AS NEEDED,802,ADMIN INTERN,2016-10-31,0.0,45518.4,45518.4
13138,52590,Female,Caucasian,Active,CAO,801,ASST CITY ADMIN OFFICER,1996-05-28,40455.26,210157.2,250612.46
47960,390193,Female,Black,Active,CANNABIS REGULATION,501,CH GRANTS ADMINISTRATOR,2017-08-16,0.0,164597.04,164597.04
3589,52051,Female,Filipino,Active,BLDG & SAFETY TECH SERVS BUR,408,DIR OF SYSTEMS,1989-08-28,0.0,161423.28,161423.28
4585,59938,Female,Filipino,Active,BLDG & SAFETY RSRCE MGMT BUR.,403,CH MANAGEMENT ANALYST,1995-01-03,0.0,170422.56,170422.56
12699,56264,Female,Filipino,Active,BLDG & SAFETY MANAGEMENT,401,ASST DEP SUP OF BLDG II,1999-08-23,0.0,161423.28,161423.28
8383,63438,Female,Caucasian,Active,BLDG & SAFETY INSPECTION BUR.,405,SR SAFETY ENG ELEVATORS,2001-06-18,3129.39,113796.0,116925.39
17660,46124,Female,Caucasian,Active,BLDG & SAFETY ENGINEERING,404,DEPUTY SUPT OF BLDG I,1985-08-26,0.0,200531.52,200531.52
23031,93556,Female,Caucasian,Active,BLDG & SAFETY COMM,409,COMMISSIONER,2004-07-01,0.0,104400.0,104400.0
8590,27812,Female,Hispanic,Active,BLDG & SAFETY CD ENFORCE BUR,406,BUILD MECH INSPECTOR,1984-07-16,0.0,89491.68,89491.68
41072,376906,Female,Asian,Active,BLDG & SAFETY AS NEEDED,407,ACCOUNTING CLERK,2016-03-29,0.0,50341.68,50341.68
20652,77853,Female,Caucasian,Active,ATTORNEY - PROPRIETARY,1203,SR ASST CITY ATTY,2003-01-27,0.0,234545.04,234545.04
18720,71452,Female,Caucasian,Active,ATTORNEY - GRANT REIMB,1204,DEPUTY CITY ATTY III,2002-03-01,0.0,171821.52,171821.52
35086,358109,Female,Asian,Active,ATTORNEY - ATTY,1202,EXEC ASST CITY ATTORNEY,2013-07-01,0.0,260415.36,260415.36
7871,16748,Female,Caucasian,Active,ATTORNEY,1201,CITY ATTY CH ADMIN ASST,1997-12-17,0.0,175120.56,175120.56
37208,368497,Female,Asian,Active,ANIMAL SERVICES AS NEEDED,202,VETERINARY TECHNICIAN,2014-11-03,0.0,50425.2,50425.2
32373,333274,Female,Other,Active,ANIMAL SERVICES,201,GEN MGR ANIMAL SERVICES,2010-08-15,0.0,230473.44,230473.44
39276,373600,Female,Black,Active,AIRPORTS,101,GEN MGR AIRPORTS,2015-07-13,0.0,362330.64,362330.64
32625,337652,Female,Black,Active,AGING AS NEEDED,302,ADMINISTRATIVE CLERK,2011-03-29,0.0,39692.88,39692.88
17591,37033,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-24,0.0,29232.0,29232.0
20515,77109,Female,Hispanic,Active,AGING,301,GEN MGR DEPT OF AGING,2002-12-23,0.0,199174.32,199174.32
23772,106078,Female,Hispanic,Active,AFFORDABLE HOUSING COMMISSION,3909,MEM AFFORDBL HSG COMMSN,2006-01-11,0.0,104400.0,104400.0
